Time,Conductivity_in,Conductivity_out
16:21:11,2763.74,476.61
16:21:12,2760.77,497.47
16:21:13,2756.81,514.67
16:21:14,2752.77,532.09
16:21:14,2770.84,553.68
16:21:15,2776.81,571.85
16:21:16,2765.73,583.49
16:21:17,2749.81,588.51
16:21:18,2757.8,591.87
16:21:19,2772.83,596.4
16:21:20,2781.79,595.88
16:21:21,2765.73,601.39
16:21:22,2752.77,589.6
16:21:23,2747.84,584.1
16:21:24,2788,577.92
16:21:25,2773.82,573.16
16:21:26,2786,563.37
16:21:27,2777.81,558
16:21:28,2761.76,565.06
16:21:29,2748.83,575.89
16:21:30,2778.8,583.68
16:21:31,2761.76,590.58
16:21:32,2769.84,602.91
16:21:33,2749.81,616.64
16:21:34,2772.83,624.3
16:21:35,2790,631.31
16:21:36,2763.74,647.65
16:21:37,2748.89,655.97
16:21:38,2759.78,658.91
16:21:39,2759.78,654.85
16:21:40,2743.9,663.5
16:21:41,2774.82,654.66
16:21:42,2763.74,659.5
16:21:43,2753.76,665.97
16:21:44,2760.77,666.5
16:21:45,2759.78,672.42
16:21:46,2760.77,675.47
16:21:47,2775.81,681.92
16:21:48,2761.76,682.47
16:21:49,2752.77,692.41
16:21:50,2794,685.43
16:21:51,2754.83,687.21
16:21:52,2772.83,691.23
16:21:53,2764.73,688.46
16:21:54,2788,686.38
16:21:55,2776.81,684.79
16:21:56,2761.76,687.93
16:21:57,2775.81,681.59
16:21:58,2757.8,682.47
16:21:59,2751.79,683.02
16:21:59,2760.77,695.1
16:22:00,2761.76,697.18
16:22:01,2760.77,696.29
16:22:02,2764.73,696.79
16:22:03,2785,690.72
16:22:04,2776.81,676.07
16:22:05,2748.83,674.79
16:22:06,2792,663.94
16:22:07,2789,672.7
16:22:08,2761.76,671.53
16:22:09,2766.72,684.85
16:22:10,2760.77,683.76
16:22:11,2761.76,694.3
16:22:12,2788,698.05
16:22:13,2778.8,711.34
16:22:14,2772.83,720.95
16:22:15,2790,726.94
16:22:16,2751.79,736.31
16:22:17,2750.8,739.84
16:22:18,2763.74,745.97
16:22:19,2780.79,737.78
16:22:20,2744.89,733.55
16:22:21,2766.72,729.47
16:22:22,2767.71,712.15
16:22:23,2755.73,696.97
16:22:24,2760.77,678.21
16:22:25,2765.73,677.08
16:22:26,2767.71,659.21
16:22:27,2764.73,661.56
16:22:28,2762.75,672.19
16:22:29,2772.66,669.85
16:22:30,2783.78,683.61
16:22:31,2768.7,691.25
16:22:32,2767.71,702.85
16:22:33,2761.76,723.85
16:22:34,2750.8,739.07
16:22:35,2763.74,736.8
16:22:36,2754.74,736.31
16:22:37,2774.64,739.36
16:22:38,2768.7,739.56
16:22:39,2750.8,738.27
16:22:40,2783.78,750.87
16:22:41,2783.78,750.6
16:22:42,2755.73,750.25
16:22:43,2784.77,751.23
16:22:44,2769.69,754.74
16:22:44,2770.68,765.2
16:22:45,2766.72,756.13
16:22:46,2765.73,765.73
16:22:47,2772.83,767.51
16:22:48,2746.86,766.48
16:22:49,2803.32,770.08
16:22:50,2766.72,769.94
16:22:51,2761.76,766.12
16:22:52,2746.86,772.23
16:22:53,2771.67,772.69
16:22:54,2765.73,777.43
16:22:55,2763.74,784.89
16:22:56,2773.82,801.39
16:22:57,2764.73,815.13
16:22:58,2796,811.29
16:22:59,2771.83,820.11
16:23:00,2758.79,812.62
16:23:01,2771.67,807.86
16:23:02,2769.69,782.94
16:23:03,2754.74,766.87
16:23:04,2764.73,749.91
16:23:05,2792,742.55
16:23:06,2792,732.56
16:23:07,2770.84,732.86
16:23:08,2767.71,742.55
16:23:09,2764.73,756.11
16:23:10,2780.79,752.99
16:23:11,2776.81,755.64
16:23:12,2776.81,761.15
16:23:13,2781.79,765.56
16:23:14,2771.67,751.96
16:23:15,2766.72,740.73
16:23:16,2784,742.81
16:23:17,2752.77,744.89
16:23:18,2783.78,748.93
16:23:19,2763.74,760.96
16:23:20,2774.82,780.39
16:23:21,2779.8,779.78
16:23:22,2772.83,779.79
16:23:23,2777.81,771.11
16:23:24,2756.72,753.56
16:23:25,2780.79,730.62
16:23:26,2765.73,716.1
16:23:27,2763.74,712.13
16:23:28,2761.76,721.55
16:23:29,2767.71,746.51
16:23:29,2780.79,773.77
16:23:30,2768.7,802.94
16:23:31,2759.67,834.02
16:23:32,2756.81,860.92
16:23:33,2756.72,878.65
16:23:34,2766.72,891.3
16:23:35,2776.81,901.36
16:23:36,2770.68,909.83
16:23:37,2769.69,914.67
16:23:38,2771.67,926.8
16:23:39,2770.68,920.88
16:23:40,2772.66,929.98
16:23:41,2784.77,922.75
16:23:42,2782.78,917.66
16:23:43,2772.66,918.71
16:23:44,2768.7,910.43
16:23:45,2792,900.67
16:23:46,2779.8,897.51
16:23:47,2781.79,892.78
16:23:48,2769.69,894.45
16:23:49,2762.75,901.83
16:23:50,2776.81,913.86
16:23:51,2778.8,918.34
16:23:52,2755.73,913.19
16:23:53,2763.74,917.62
16:23:54,2787,915.95
16:23:55,2759.78,908.06
16:23:56,2760.77,893.03
16:23:57,2752.77,892.26
16:23:58,2766.72,874.73
16:23:59,2778.8,872.21
16:24:00,2754.74,859.45
16:24:01,2764.73,847.4
16:24:02,2790,840.03
16:24:03,2740.92,832.89
16:24:04,2766.72,815.48
16:24:05,2793,800.1
16:24:06,2791,793
16:24:07,2749.81,785.7
16:24:08,2745.87,781.76
16:24:09,2768.7,780.48
16:24:10,2766.72,781.27
16:24:11,2772.83,781.27
16:24:12,2777.81,782.14
16:24:13,2764.73,790.29
16:24:14,2792,784.3
16:24:15,2756.72,788.86
16:24:15,2782.78,787.68
16:24:16,2778.8,786.59
16:24:17,2761.76,795.15
16:24:18,2780.79,790.44
16:24:19,2768.7,792.11
16:24:20,2760.77,791.42
16:24:21,2766.72,793.82
16:24:22,2778.8,806.41
16:24:23,2790,828.6
16:24:24,2780.79,826.1
16:24:25,2782.78,844.08
16:24:26,2751.79,852.16
16:24:27,2767.71,867.93
16:24:28,2768.7,884.5
16:24:29,2784.77,889.89
16:24:30,2750.8,900.67
16:24:31,2781.79,906.29
16:24:32,2750.8,912.69
16:24:33,2764.73,921.37
16:24:34,2793,935.71
16:24:35,2763.74,950.57
16:24:36,2775.81,961.2
16:24:37,2759.78,977.37
16:24:38,2747.84,991.87
16:24:39,2764.73,1013.19
16:24:40,2755.73,1021.15
16:24:41,2761.76,1019.47
16:24:42,2789,1029.22
16:24:43,2770.68,1024.4
16:24:44,2781.79,1022.43
16:24:45,2752.77,1018.49
16:24:46,2750.8,1015.53
16:24:47,2782.78,1012.38
16:24:48,2761.76,1003.93
16:24:49,2758.79,1004.91
16:24:50,2767.71,1002.71
16:24:51,2768.7,988.22
16:24:52,2767.71,989.1
16:24:53,2748.83,967.41
16:24:54,2774.82,953.02
16:24:55,2746.86,943.46
16:24:56,2766.72,935.72
16:24:57,2759.78,946.41
16:24:58,2759.78,948.98
16:24:59,2752.77,962.03
16:25:00,2748.83,956.77
16:25:00,2753.76,963.27
16:25:01,2763.74,963.69
16:25:02,2759.78,967.22
16:25:03,2747.84,969.99
16:25:04,2761.76,958.25
16:25:05,2776.81,950.16
16:25:06,2779.8,940.14
16:25:07,2779.8,952.97
16:25:08,2780.79,949.47
16:25:09,2776.81,958
16:25:10,2794,959.88
16:25:11,2801,964.46
16:25:12,2765.73,974.54
16:25:13,2738.96,973.92
16:25:14,2794,972.03
16:25:15,2788,983.49
16:25:16,2774.82,993.56
16:25:17,2777.81,997.52
16:25:18,2745.87,1002.24
16:25:19,2773.82,1000.5
16:25:20,2765.73,990.19
16:25:21,2782,979.39
16:25:22,2757.8,979.34
16:25:23,2775.81,979.55
16:25:24,2766.72,962.58
16:25:25,2777.81,965.82
16:25:26,2762.75,952.89
16:25:27,2763.74,951.7
16:25:28,2761.76,963.37
16:25:29,2752.77,966.24
16:25:30,2793,981.77
16:25:31,2768.7,982.8
16:25:32,2767.71,994.55
16:25:33,2766.72,1006.66
16:25:34,2768.7,1016.51
16:25:35,2771.83,1021.44
16:25:36,2786,1014.72
16:25:37,2787,1016.34
16:25:38,2766.72,1007.22
16:25:39,2760.77,985.95
16:25:40,2786,968.6
16:25:41,2776.81,970.27
16:25:42,2768.7,961.7
16:25:43,2784,958.54
16:25:44,2780.79,955.72
16:25:45,2765.73,953.51
16:25:45,2758.79,952.82
16:25:46,2773.82,950.55
16:25:47,2763.74,947.5
